996.李化禹.EZ,51.0,77.0,184.0,80.0,392.0
996.李化禹.HD,170.0,89.0,134.0,60.0,453.0
996.李化禹.IN,490.0,37.0,262.0,207.0,996.0
AbsoluTedisoRdeR.AcuteDisarray.AT,1388.0,85.0,393.0,159.0,2025.0
AbsoluTedisoRdeR.AcuteDisarray.EZ,168.0,76.0,514.0,8.0,766.0
AbsoluTedisoRdeR.AcuteDisarray.HD,389.0,146.0,460.0,51.0,1046.0
AbsoluTedisoRdeR.AcuteDisarray.IN,955.0,163.0,352.0,130.0,1600.0
Adastraperaspera.RabbitHouse.EZ,288.0,14.0,386.0,8.0,696.0
Adastraperaspera.RabbitHouse.HD,316.0,28.0,545.0,35.0,924.0
Adastraperaspera.RabbitHouse.IN,859.0,145.0,368.0,82.0,1454.0
AfterDawn.S9ryne.EZ,79.0,42.0,61.0,12.0,194.0
AfterDawn.S9ryne.HD,140.0,75.0,225.0,38.0,478.0
AfterDawn.S9ryne.IN,512.0,118.0,276.0,69.0,975.0
Ajourneytothemoonlight.Yesod.EZ,186.0,32.0,10.0,14.0,242.0
Ajourneytothemoonlight.Yesod.HD,400.0,17.0,116.0,22.0,555.0
Ajourneytothemoonlight.Yesod.IN,428.0,102.0,583.0,86.0,1199.0
Aleph0.LeaF.EZ,109.0,8.0,17.0,19.0,153.0
Aleph0.LeaF.HD,383.0,6.0,101.0,41.0,531.0
Aleph0.LeaF.IN,735.0,39.0,70.0,41.0,885.0
Aliceinaxxxxxxxx.Nagiha.EZ,104.0,24.0,101.0,10.0,239.0
Aliceinaxxxxxxxx.Nagiha.HD,193.0,45.0,184.0,11.0,433.0
Aliceinaxxxxxxxx.Nagiha.IN,522.0,73.0,253.0,74.0,922.0
AnotherMe.DAAN.EZ,175.0,14.0,193.0,73.0,455.0
AnotherMe.DAAN.HD,292.0,48.0,300.0,75.0,715.0
AnotherMe.DAAN.IN,774.0,243.0,314.0,118.0,1449.0
AnotherMe.NeutralMoon.EZ,132.0,48.0,132.0,6.0,318.0
AnotherMe.NeutralMoon.HD,276.0,38.0,109.0,2.0,425.0
AnotherMe.NeutralMoon.IN,408.0,41.0,92.0,23.0,564.0
AnotherRound.JustinDai.EZ,36.0,39.0,21.0,40.0,136.0
AnotherRound.JustinDai.HD,183.0,24.0,104.0,42.0,353.0
